Fecha; MSCI COLCAP ; COLSC ; COLIR ; COLEQTY ; COLTESUVRLP ; COLTESUVRCP ; COLTESUVR ; COLTESLP ; COLTESCP ; COLTES ; COLIBR 
2/01/18; 1.516,68 ; 968,21 ; 977,90 ; 1.043,97 ;;; 259,43 ; 276,33 ; 226,51 ; 249,58 ; 166,97 
3/01/18; 1.515,84 ; 969,85 ; 977,87 ; 1.043,53 ;;; 259,77 ; 277,44 ; 226,82 ; 250,33 ; 166,99 
4/01/18; 1.531,68 ; 971,69 ; 987,68 ; 1.053,55 ;;; 260,20 ; 277,51 ; 226,88 ; 250,39 ; 167,01 
5/01/18; 1.545,57 ; 969,06 ; 996,71 ; 1.062,88 ;;; 260,30 ; 277,86 ; 226,83 ; 250,56 ; 167,04 
9/01/18; 1.547,31 ; 960,59 ; 998,17 ; 1.064,17 ;;; 260,63 ; 278,31 ; 226,82 ; 250,80 ; 167,12 
10/01/18; 1.537,70 ; 958,91 ; 991,68 ; 1.057,74 ;;; 260,29 ; 277,87 ; 226,79 ; 250,54 ; 167,14 
11/01/18; 1.523,33 ; 960,51 ; 982,52 ; 1.048,39 ;;; 260,26 ; 278,48 ; 226,92 ; 250,94 ; 167,16 
12/01/18; 1.521,41 ; 957,79 ; 980,77 ; 1.046,59 ;;; 259,74 ; 278,26 ; 226,85 ; 250,79 ; 167,18 
15/01/18; 1.513,76 ; 945,43 ; 976,43 ; 1.041,63 ;;; 259,45 ; 277,59 ; 226,73 ; 250,37 ; 167,25 
16/01/18; 1.539,10 ; 944,94 ; 992,88 ; 1.058,08 ;;; 259,17 ; 276,84 ; 226,58 ; 249,89 ; 167,27 
17/01/18; 1.543,54 ; 945,61 ; 995,64 ; 1.061,00 ;;; 259,18 ; 276,97 ; 226,79 ; 250,05 ; 167,29 
18/01/18; 1.548,07 ; 955,07 ; 998,53 ; 1.064,27 ;;; 258,76 ; 276,36 ; 226,80 ; 249,72 ; 167,31 
19/01/18; 1.551,04 ; 959,29 ; 1.000,53 ; 1.066,27 ;;; 258,56 ; 276,12 ; 226,77 ; 249,57 ; 167,33 
22/01/18; 1.557,86 ; 961,93 ; 1.005,56 ; 1.071,18 ;;; 258,73 ; 276,27 ; 226,92 ; 249,72 ; 167,40 
23/01/18; 1.570,34 ; 963,10 ; 1.014,03 ; 1.079,69 ;;; 258,67 ; 276,74 ; 227,03 ; 250,03 ; 167,42 
24/01/18; 1.589,60 ; 964,79 ; 1.026,20 ; 1.092,19 ;;; 258,93 ; 277,35 ; 227,20 ; 250,44 ; 167,44 
25/01/18; 1.588,97 ; 963,01 ; 1.025,45 ; 1.091,36 ;;; 259,23 ; 278,14 ; 227,50 ; 251,00 ; 167,46 
26/01/18; 1.592,82 ; 968,82 ; 1.028,05 ; 1.094,00 ;;; 259,02 ; 277,80 ; 227,44 ; 250,79 ; 167,48 
29/01/18; 1.598,40 ; 969,60 ; 1.032,06 ; 1.098,01 ;;; 259,19 ; 277,79 ; 227,56 ; 250,83 ; 167,54 
30/01/18; 1.582,98 ; 968,55 ; 1.022,08 ; 1.087,46 ;;; 258,73 ; 277,48 ; 227,09 ; 250,46 ; 167,57 
31/01/18; 1.558,18 ; 963,96 ; 1.006,32 ; 1.070,73 ;;; 259,02 ; 278,27 ; 227,05 ; 250,88 ; 167,59 
1/02/18; 1.580,97 ; 964,57 ; 1.020,40 ; 1.085,10 ;;; 259,20 ; 278,74 ; 227,07 ; 251,15 ; 167,61 
2/02/18; 1.567,74 ; 962,23 ; 1.013,43 ; 1.077,63 ;;; 259,19 ; 278,32 ; 227,05 ; 250,91 ; 167,63 
5/02/18; 1.523,07 ; 958,33 ; 986,24 ; 1.049,71 ;;; 258,62 ; 276,97 ; 226,64 ; 249,99 ; 167,69 
6/02/18; 1.526,83 ; 959,96 ; 987,75 ; 1.051,66 ;;; 258,69 ; 276,77 ; 226,66 ; 249,89 ; 167,71 
7/02/18; 1.526,87 ; 959,49 ; 988,94 ; 1.052,37 ;;; 258,92 ; 277,11 ; 226,84 ; 250,15 ; 167,73 
8/02/18; 1.504,77 ; 957,89 ; 975,55 ; 1.038,33 ;;; 258,43 ; 276,01 ; 226,77 ; 249,51 ; 167,75 
9/02/18; 1.500,99 ; 951,33 ; 971,50 ; 1.034,12 ;;; 258,49 ; 276,07 ; 226,71 ; 249,52 ; 167,77 
12/02/18; 1.509,48 ; 947,34 ; 977,51 ; 1.040,60 ;;; 258,93 ; 276,46 ; 226,82 ; 249,79 ; 167,83 
13/02/18; 1.504,98 ; 947,25 ; 975,11 ; 1.037,79 ;;; 259,49 ; 276,26 ; 226,74 ; 249,64 ; 167,85 
14/02/18; 1.518,78 ; 947,80 ; 982,62 ; 1.045,58 ;;; 259,99 ; 275,88 ; 226,74 ; 249,43 ; 167,87 
15/02/18; 1.514,36 ; 948,53 ; 979,53 ; 1.042,84 ;;; 259,93 ; 275,52 ; 226,83 ; 249,27 ; 167,89 
16/02/18; 1.520,71 ; 947,99 ; 984,46 ; 1.047,35 ;;; 260,01 ; 275,99 ; 227,03 ; 249,61 ; 167,91 
19/02/18; 1.515,70 ; 947,24 ; 981,26 ; 1.044,14 ;;; 260,06 ; 275,97 ; 227,10 ; 249,64 ; 167,97 
20/02/18; 1.517,39 ; 947,11 ; 981,69 ; 1.044,80 ;;; 260,17 ; 275,47 ; 227,19 ; 249,40 ; 167,99 
21/02/18; 1.525,24 ; 948,33 ; 987,25 ; 1.050,40 ;;; 259,70 ; 275,52 ; 227,40 ; 249,52 ; 168,01 
22/02/18; 1.532,20 ; 944,81 ; 990,28 ; 1.053,40 ;;; 259,82 ; 276,06 ; 227,55 ; 249,88 ; 168,03 
23/02/18; 1.532,60 ; 944,78 ; 990,03 ; 1.053,30 ;;; 259,99 ; 276,62 ; 227,60 ; 250,21 ; 168,05 
26/02/18; 1.524,90 ; 941,44 ; 984,83 ; 1.047,92 ;;; 260,13 ; 277,14 ; 227,75 ; 250,56 ; 168,11 
27/02/18; 1.516,53 ; 938,75 ; 979,91 ; 1.042,67 ;;; 259,78 ; 276,91 ; 227,70 ; 250,41 ; 168,13 
28/02/18; 1.478,33 ; 935,08 ; 956,80 ; 1.018,15 ;;; 259,58 ; 276,20 ; 227,53 ; 249,95 ; 168,15 
1/03/18; 1.466,28 ; 931,17 ; 949,86 ; 1.010,26 ;;; 259,01 ; 274,32 ; 227,15 ; 248,75 ; 168,17 
2/03/18; 1.456,38 ; 922,97 ; 942,43 ; 1.002,68 ;;; 258,94 ; 273,67 ; 227,14 ; 248,39 ; 168,19 
5/03/18; 1.469,83 ; 916,82 ; 950,96 ; 1.011,22 ;;; 259,21 ; 273,83 ; 227,42 ; 248,59 ; 168,26 
6/03/18; 1.475,53 ; 915,33 ; 954,31 ; 1.014,83 ;;; 259,41 ; 274,60 ; 227,65 ; 249,12 ; 168,28 
7/03/18; 1.473,76 ; 917,80 ; 953,97 ; 1.014,24 ;;; 258,79 ; 274,11 ; 227,55 ; 248,80 ; 168,30 
8/03/18; 1.474,31 ; 913,31 ; 953,88 ; 1.014,25 ;;; 258,45 ; 274,19 ; 227,70 ; 248,91 ; 168,32 
9/03/18; 1.482,10 ; 913,27 ; 958,38 ; 1.019,29 ;;; 258,37 ; 274,65 ; 227,83 ; 249,22 ; 168,34 
12/03/18; 1.478,88 ; 913,07 ; 956,93 ; 1.017,69 ;;; 258,84 ; 276,15 ; 228,12 ; 250,17 ; 168,40 
13/03/18; 1.467,60 ; 911,64 ; 949,42 ; 1.009,11 ;;; 259,08 ; 276,86 ; 228,31 ; 250,65 ; 168,42 
14/03/18; 1.463,78 ; 913,15 ; 946,97 ; 1.006,58 ;;; 259,22 ; 277,06 ; 228,26 ; 250,73 ; 168,44 
15/03/18; 1.467,22 ; 910,91 ; 948,98 ; 1.008,68 ;;; 259,49 ; 277,28 ; 228,51 ; 250,96 ; 168,46 
16/03/18; 1.475,75 ; 908,89 ; 953,30 ; 1.013,27 ;;; 259,61 ; 277,90 ; 228,65 ; 251,37 ; 168,48 
20/03/18; 1.476,89 ; 906,55 ; 953,25 ; 1.013,34 ;;; 259,69 ; 278,02 ; 228,83 ; 251,51 ; 168,56 
21/03/18; 1.486,03 ; 908,88 ; 958,76 ; 1.019,39 ;;; 259,67 ; 278,06 ; 228,90 ; 251,56 ; 168,58 
22/03/18; 1.468,44 ; 910,53 ; 948,38 ; 1.009,04 ;;; 259,67 ; 278,05 ; 228,88 ; 251,55 ; 168,60 
23/03/18; 1.459,06 ; 902,01 ; 941,74 ; 1.001,96 ;;; 259,53 ; 277,75 ; 228,83 ; 251,37 ; 168,62 
26/03/18; 1.469,04 ; 898,01 ; 946,35 ; 1.006,69 ;;; 259,83 ; 278,50 ; 229,17 ; 251,92 ; 168,68 
27/03/18; 1.450,00 ; 903,75 ; 935,34 ; 995,57 ;;; 260,58 ; 280,22 ; 229,61 ; 253,06 ; 168,70 
28/03/18; 1.455,52 ; 903,19 ; 940,34 ; 1.000,59 ;;; 260,82 ; 281,01 ; 229,58 ; 253,48 ; 168,72 
2/04/18; 1.470,88 ; 900,26 ; 948,88 ; 1.009,32 ;;; 260,79 ; 281,00 ; 229,63 ; 253,50 ; 168,82 
3/04/18; 1.492,84 ; 903,24 ; 962,24 ; 1.023,26 ;;; 260,87 ; 281,09 ; 229,74 ; 253,59 ; 168,84 
4/04/18; 1.497,59 ; 896,59 ; 964,59 ; 1.025,71 ;;; 260,58 ; 280,90 ; 229,72 ; 253,47 ; 168,86 
5/04/18; 1.514,84 ; 896,81 ; 975,55 ; 1.037,28 ;;; 261,02 ; 281,41 ; 229,88 ; 253,83 ; 168,88 
6/04/18; 1.520,76 ; 899,59 ; 979,46 ; 1.041,31 ;;; 261,28 ; 282,52 ; 230,30 ; 254,63 ; 168,90 
9/04/18; 1.531,72 ; 912,84 ; 986,75 ; 1.049,44 ;;; 261,32 ; 282,33 ; 230,51 ; 254,60 ; 168,96 
10/04/18; 1.548,01 ; 908,01 ; 996,15 ; 1.059,13 ;;; 261,56 ; 283,38 ; 230,85 ; 255,34 ; 168,98 
